molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL480,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,390.0,active
CHEMBL178459,Cc1c(-c2cnccn2)ssc1=S,210.0,active
CHEMBL3545157,O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1,80.0,active
CHEMBL297453,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,1580.0,intermediate
CHEMBL4303595,O=C1C=Cc2cc(Br)ccc2C1=O,40.0,active
CHEMBL444186,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,3190.0,intermediate
CHEMBL55400,Nc1ccc2cc3ccc(N)cc3nc2c1,360.0,active
CHEMBL1886408,CCOC(=O)Cc1ccc(-c2ccccc2)cc1,200.0,active
CHEMBL505670,O=[N+]([O-])c1ccc(Sc2cccc[n+]2[O-])c2nonc12,100.0,active
CHEMBL460499,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,160.0,active
CHEMBL1271993,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(Cl)c(Cl)c1,4530.0,intermediate
CHEMBL3665060,CN1CCN(C(=O)c2ccc(-c3ccc4c(C=O)c(O)ccc4c3)s2)CC1,1330.0,intermediate
CHEMBL1096979,NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,140.0,active
CHEMBL164,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,220.0,active
CHEMBL1422849,CCN1CCN(C(c2ccc(C(F)(F)F)cc2)c2ccc3cccnc3c2O)CC1,150.0,active
CHEMBL284861,Cn1sc(=O)n(Cc2ccccc2)c1=O,140.0,active
CHEMBL286080,Oc1cc2c(cc1O)C(c1ccccc1)CNCC2,2800.0,intermediate
CHEMBL3963349,COC(=O)CC[C@H](NC(=O)[C@H](CC(=O)OC)NC(=O)OCc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CC(=O)OC)C(=O)CF)C(C)C,10.0,active
